Tiers_Key_Payeur;salaire;Age;Frequence_Paiements;Total_des_cheques;Montant_moy_par_opperation;Ecart_Type_Cheques;Nombres_cheques_par_client;code_postal;Code_Agence;Tranche_Age;Tranche_Salaire;Civilite;Sexe;Statut_Civil;Segment;Situation_Contractuelle;ville;Agence;Stabilite_Client;Classe_Client;Saison_Operation;Montant_moyen_par_cheque;Ratio_cheques_salaire;segment_carte_credit
514;2405.431;83;2;448.07;224.035;25.197750147582624;11;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;40.73363636363637;0.0931371550462266;Utilisateurs Occasionnels
566;1512.947;95;6;6228.52;1038.0866666666668;142.81070011265496;101;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Hiver;61.66851485148516;0.6861355134493587;Utilisateurs Occasionnels
610;1220.628;78;9;6933.0;770.3333333333334;144.5570821509621;54;1000;0;Tranche sup 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Hiver;128.38888888888889;0.6310959058233413;Utilisateurs Occasionnels
649;273.649;83;2;192.6;96.3;2.9698484809835017;6;1000;0;Tranche sup 60;Tranche 0 - 700;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;32.1;0.3519106592752029;Utilisateurs Occasionnels
959;7150.852;56;7;429816.489;61402.35557142857;19908.565973730507;67;1000;0;Tranche 51 - 60;Tranche Sup 3500;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Hiver;6415.171477611941;8.586718837339742;Utilisateurs Occasionnels
1239;928.659;56;3;690.1;230.03333333333333;2.010804150914085;17;1000;0;Tranche 51 - 60;Tranche 700 - 1000;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;40.59411764705882;0.2477048446559322;Utilisateurs Occasionnels
1465;2184.282;86;5;10531.6;2106.32;182.8900434687465;34;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Hiver;309.7529411764706;0.9643077221714046;Utilisateurs Occasionnels
1467;1939.535;56;3;34589.631;11529.877;2879.696061805192;13;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;2660.740846153846;5.944660446962803;Utilisateurs Occasionnels
1625;2088.916;87;5;3618.0;723.6;91.49207615963252;16;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;ÃtÃ©;226.125;0.3463997594924831;Utilisateurs Occasionnels
1676;880.415;78;2;2200.0;1100.0;70.71067811865476;10;1000;0;Tranche sup 60;Tranche 700 - 1000;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;220.0;1.249410789230079;Utilisateurs Occasionnels
1985;1085.917;82;6;2520.0;420.0;50.19960159204454;27;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;93.33333333333331;0.3867698912531989;Utilisateurs Occasionnels
2430;411.574;56;1;8000.0;8000.0;0.0;4;1000;0;Tranche 51 - 60;Tranche 0 - 700;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Automne;2000.0;19.437573802038028;Utilisateurs Occasionnels
